number,portuguese,english
33,uma,a
422,capaz,able
158,sobre,about
307,acima,above
77,ato,act
68,adicionar,add
917,medo,afraid
111,depois,after
91,novamente,again
483,contra,against
675,idade,age
381,atrás,ago
796,concordar,agree
55,ar,air
151,tudo,all
841,permitir,allow
57,também,also
287,sempre,always
541,am,am
400,entre,among
48,uma,an
32,e,and
998,raiva,anger
92,animais,animal
208,resposta,answer
101,qualquer,any
491,aparecer,appear
927,maçã,apple
9,são,are
335,área,area
547,braço,arm
968,organizar,arrange
850,chegar,arrive
518,arte,art
1,como,as
79,perguntar,ask
13,em,at
786,átomo,atom
701,bebê,baby
112,de volta,back
624,ruim,bad
536,bola,ball
934,banda,band
646,banco,bank
872,bar,bar
264,base,base
944,básico,basic
808,bat,bat
12,ser,be
592,suportar,bear
746,bater,beat
425,beleza,beauty
504,cama,bed
198,sido,been
143,antes,before
258,começou,began
280,início,begin
445,atrás,behind
509,acreditar,believe
815,sino,bell
452,melhor,best
454,melhor,better
219,entre,between
73,grande,big
314,pássaro,bird
731,bit,bit
326,preto,black
951,bloco,block
627,sangue,blood
625,golpe,blow
359,azul,blue
569,conselho,board
371,barco,boat
316,corpo,body
792,osso,bone
251,livro,book
972,nascido,born
290,tanto,both
689,inferior,bottom
928,comprou,bought
417,caixa,box
146,menino,boy
912,ramo,branch
869,pão,bread
620,pausa,break
587,brilhante,bright
393,trazer,bring
993,amplo,broad
654,quebrado,broke
505,irmão,brother
389,trouxe,brought
636,marrom,brown
97,construir,build
723,queimar,burn
368,ocupado,busy
21,mas,but
706,comprar,buy
18,por,by
192,chamada,call
118,veio,came
969,acampamento,camp
36,lata,can
751,capital,capital
800,capitão,captain
297,carro,car
933,cartão,card
299,cuidados,care
252,carregam,carry
655,caso,case
726,cat,cat
565,captura,catch
781,capturados,caught
140,causa,cause
508,celular,cell
630,cento,cent
486,centro,center
727,século,century
405,certo,certain
753,cadeira,chair
979,oportunidade,chance
81,mudança,change
779,caráter,character
870,cobrar,charge
952,gráfico,chart
383,verifique,check
881,pinto,chick
829,chefe,chief
665,criança,child
279,crianças,children
641,escolher,choose
862,acorde,chord
529,círculo,circle
227,cidade,city
999,reivindicação,claim
329,classe,class
619,limpo,clean
446,claro,clear
683,subida,climb
831,relógio,clock
245,perto,close
597,vestir,clothe
678,nuvem,cloud
732,costa,coast
931,casaco,coat
498,frio,cold
647,recolher,collect
830,colônia,colony
270,cor,color
986,coluna,column
180,vir,come
372,comum,common
956,companhia,company
812,comparar,compare
333,completo,complete
940,condição,condition
859,conectar,connect
728,considerar,consider
667,consoante,consonant
428,contêm,contain
1000,continente,continent
950,continuar,continue
649,controle,control
719,cozinheiro,cook
684,legal,cool
733,cópia,copy
811,milho,corn
773,canto,corner
421,correto,correct
634,custo,cost
971,algodão,cotton
178,poderia,could
513,contar,count
206,país,country
354,curso,course
215,cobertura,cover
579,vaca,cow
698,vinco,crease
805,criar,create
768,colheita,crop
229,atravessar,cross
810,multidão,crowd
409,grito,cry
847,atual,current
267,corte,cut
868,pai,dad
544,dança,dance
754,perigo,danger
410,escuro,dark
177,dia,day
843,morto,dead
960,negócio,deal
882,caro,dear
903,morte,death
361,decidir,decide
650,decimal,decimal
363,profunda,deep
879,grau,degree
816,dependem,depend
718,descrever,describe
845,deserto,desert
685,projeto,design
973,determinar,determine
437,desenvolver,develop
669,dicionário,dictionary
181,fez,did
609,morrer,die
138,diferir,differ
763,difícil,difficult
319,direto,direct
921,discutir,discuss
395,distante,distant
532,dividir,divide
855,divisão,division
41,fazer,do
764,médico,doctor
51,faz,does
317,cão,dog
921,dólar,dollar
424,done,done
242,não,don’t
324,porta,door
948,duplo,double
196,para baixo,down
238,desenhar,draw
938,sonhar,dream
677,vestido,dress
885,bebida,drink
426,unidade,drive
539,cair,drop
377,seca,dry
876,pato,duck
456,durante,during
49,cada,each
651,ouvido,ear
461,cedo,early
99,terra,earth
284,facilidade,ease
397,leste,east
255,comer,eat
581,borda,edge
789,efeito,effect
506,ovo,egg
702,oito,eight
721,ou,either
790,elétrica,electric
770,elemento,element
652,mais,else
60,fim,end
883,inimigo,enemy
501,energia,energy
545,motor,engine
301,suficiente,enough
834,introduzir,enter
639,igual,equal
386,equiparar,equate
915,especialmente,especially
69,mesmo,even
939,noite,evening
958,evento,event
308,sempre,ever
120,cada,every
607,exata,exact
283,exemplo,example
613,exceto,except
747,excitar,excite
563,exercício,exercise
791,esperar,expect
925,experiência,experience
688,experiência,experiment
222,olho,eye
271,rosto,face
449,fato,fact
645,feira,fair
407,cair,fall
318,família,family
820,famoso,famous
236,longe,far
230,fazenda,farm
467,rápido,fast
863,gordura,fat
100,pai,father
858,favorecer,favor
823,medo,fear
941,alimentação,feed
312,sentir,feel
298,pés,feet
642,caiu,fell
534,sentido,felt
249,poucos,few
419,campo,field
916,figo,fig
744,luta,fight
415,figura,figure
396,preencher,fill
432,finais,final
200,encontrar,find
404,multa,fine
741,dedo,finger
593,acabamento,finish
339,fogo,fire
193,primeiro,first
260,peixe,fish
643,caber,fit
458,cinco,five
694,plana,flat
720,piso,floor
644,fluir,flow
596,flor,flower
406,voar,fly
76,siga,follow
216,alimentos,food
366,pé,foot
7,para,for
358,força,force
552,floresta,forest
130,forma,form
922,para a frente,forward
207,encontrado,found
218,quatro,four
551,fração,fraction
440,livre,free
836,fresco,fresh
257,amigo,friend
17,a partir de,from
429,frente,front
755,frutas,fruit
357,completo,full
586,diversão,fun
384,jogo,game
638,jardim,garden
588,gás,gas
980,recolher,gather
433,deu,gave
526,geral,general
798,suave,gentle
106,obter,get
303,menina,girl
123,dar,give
864,feliz,glad
577,vidro,glass
179,ir,go
373,ouro,gold
599,gone,gone
121,bom,good
281,tem,got
496,governar,govern
535,grande,grand
578,grama,grass
990,cinza,gray
132,grande,great
434,verde,green
629,cresceu,grew
464,solo,ground
286,grupo,group
210,crescer,grow
801,acho que,guess
924,orientar,guide
840,pistola,gun
28,teve,had
717,cabelo,hair
336,metade,half
64,mão,hand
332,acontecer,happen
594,feliz,happy
231,difícil,hard
174,tem,has
953,chapéu,hat
15,tem,have
5,ele,he
201,cabeça,head
265,ouvir,hear
451,ouvido,heard
540,coração,heart
390,calor,heat
543,pesado,heavy
716,held,held
135,ajudar,help
167,seu,her
71,aqui,here
74,alto,high
724,hill,hill
172,ele,him
3,seu,his
788,história,history
771,acertar,hit
462,segurar,hold
699,buraco,hole
62,casa,home
595,esperamos,hope
266,cavalo,horse
19,quente,hot
387,quente,hot
453,horas,hour
87,casa,house
46,como,how
918,enorme,huge
787,humano,human
457,cem,hundred
502,caça,hunt
828,apressar,hurry
2,i,i
527,gelo,ice
259,idéia,idea
44,se,if
794,imaginar,imagine
34,em,in
351,polegada,inch
531,incluir,include
783,indicam,indicate
742,indústria,industry
780,inseto,insect
877,instant,instant
575,instrumento,instrument
465,juros,interest
970,inventar,invent
691,ferro,iron
24,é,is
365,ilha,island
25,ele,it
580,trabalho,job
617,juntar-se,join
570,alegria,joy
700,saltar,jump
129,justo,just
221,manter,keep
576,guardado,kept
690,chave,key
657,matar,kill
84,tipo,kind
349,rei,king
344,sabia,knew
189,sei,know
621,senhora,lady
659,lago,lake
70,terra,land
399,linguagem,language
66,grande,large
224,último,last
240,tarde,late
379,risada,laugh
730,direito,law
482,lay,lay
408,conduzir,lead
213,aprender,learn
610,menos,least
321,deixar,leave
929,conduziu,led
239,esquerda,left
562,perna,leg
516,comprimento,length
474,menos,less
225,deixar,let
293,carta,letter
978,nível,level
745,mentira,lie
248,vida,life
848,elevador,lift
83,luz,light
164,como,like
137,linha,line
894,líquido,liquid
310,lista,list
470,ouça,listen
113,pouco,little
109,viver,live
777,localizar,locate
895,log,log
561,solitário,lone
168,longo,long
175,olhar,look
635,perdido,lost
687,muito,lot
662,alto,loud
487,amo,love
136,baixo,low
411,máquina,machine
108,feito,made
909,ímã,magnet
273,principal,main
835,maior,major
169,fazer,make
116,homem,man
159,muitos,many
493,mapa,map
291,marca,mark
878,mercado,market
932,massa,mass
851,mestre,master
913,jogo,match
550,material de,material
528,assunto,matter
195,pode,may
122,me,me
142,significar,mean
896,significava,meant
323,medir,measure
817,carne,meat
704,meet,meet
601,melodia,melody
80,homens,men
709,de metal,metal
672,método,method
656,meio,middle
233,poder,might
295,milha,mile
670,leite,milk
591,milhão,million
444,mente,mind
832,mina,mine
441,minuto,minute
388,senhorita,miss
631,misturar,mix
769,moderno,modern
987,molécula,molecule
660,momento,moment
489,dinheiro,money
590,mês,month
364,lua,moon
176,mais,more
475,manhã,morning
185,mais,most
94,mãe,mother
892,movimento,motion
566,mount,mount
261,montanha,mountain
606,boca,mouth
144,mudança,move
141,muito,much
352,multiplicar,multiply
288,música,music
72,necessário,must
187,meu,my
126,nome,name
668,nação,nation
748,naturais,natural
889,natureza,nature
96,perto,near
802,necessário,necessary
900,pescoço,neck
86,precisa,need
806,vizinho,neighbor
223,nunca,never
102,novo,new
277,próximo,next
246,noite,night
975,nove,nine
184,não,no
977,ruído,noise
767,meio-dia,noon
947,nem,nor
250,norte,north
996,nariz,nose
412,nota,note
353,nada,nothing
499,aviso,notice
418,substantivo,noun
199,agora,now
182,número,number
328,numeral,numeral
360,objeto,object
664,observar,observe
886,ocorrer,occur
438,oceano,ocean
30,de,of
85,off,off
873,oferta,offer
603,escritório,office
292,muitas vezes,often
435,ó,oh
626,óleo,oil
147,velho,old
8,em,on
263,uma vez,once
14,uma,one
114,apenas,only
274,aberto,open
760,operar,operate
963,oposto,opposite
27,ou,or
338,ordem,order
673,órgão,organ
865,original,original
38,outro,other
124,nossa,our
37,fora,out
188,sobre,over
203,próprio,own
901,oxigênio,oxygen
204,página,page
398,pintar,paint
530,par,pair
285,papel,paper
713,parágrafo,paragraph
853,pai,parent
104,parte,part
959,especial,particular
774,festa,party
345,passar,pass
584,passado,past
893,caminho,path
484,padrão,pattern
674,pagar,pay
186,pessoas,people
510,talvez,perhaps
782,período,period
488,pessoa,person
734,frase,phrase
511,escolher,pick
88,imagem,picture
342,peça,piece
930,campo,pitch
107,lugar,place
302,plain,plain
414,plano,plan
375,avião,plane
827,planeta,planet
214,planta,plant
58,jogar,play
765,por favor,please
997,plural,plural
813,poema,poem
93,ponto,point
686,pobre,poor
880,preencher,populate
65,port,port
320,representar,pose
546,posição,position
374,possível,possible
860,pós,post
423,libra,pound
402,poder,power
761,prática,practice
994,preparar,prepare
542,presente,present
244,imprensa,press
904,bastante,pretty
842,impressão,print
503,provável,probable
341,problema,problem
759,processo,process
448,produzir,produce
325,produto,product
871,adequada,proper
985,propriedade,property
766,proteger,protect
560,provar,prove
795,fornecer,provide
497,puxe,pull
711,empurre,push
61,colocar,put
974,quarto,quart
331,pergunta,question
436,rápida,quick
680,calma,quiet
653,bastante,quite
897,quociente,quotient
554,corrida,race
784,rádio,radio
793,trilho,rail
494,chuva,rain
707,levantar,raise
382,ran,ran
890,gama,range
809,vez,rather
466,alcançar,reach
63,ler,read
306,pronto,ready
247,reais,real
515,razão,reason
604,receber,receive
370,registro,record
309,vermelho,red
520,região,region
459,lembre-se,remember
991,repetição,repeat
884,responder,reply
517,representar,represent
992,exigir,require
420,resto,rest
722,resultado,result
756,rico,rich
507,passeio,ride
145,direito,right
778,anel,ring
623,subir,rise
296,rio,river
492,estrada,road
337,rocha,rock
739,rolo,roll
256,quarto,room
705,raiz,root
935,corda,rope
840,aumentou,rose
115,rodada,round
605,linha,row
818,esfregar,rub
495,regra,rule
241,run,run
725,seguro,safe
47,disse,said
549,vela,sail
995,sal,salt
149,mesmo,same
737,areia,sand
572,sat,sat
648,salvar,save
235,serra,saw
134,dizer,say
661,escala,scale
209,escola,school
254,ciência,science
926,contagem,score
237,mar,sea
837,pesquisa,search
907,temporada,season
949,assento,seat
300,segunda,second
676,seção,section
171,veja,see
615,semente,seed
275,parecem,seem
874,segmento,segment
988,selecione,select
98,auto,self
954,vender,sell
838,enviar,send
750,sentido,sense
640,enviado,sent
131,sentença,sentence
762,separado,separate
490,servir,serve
52,conjunto,set
523,resolver,settle
712,sete,seven
478,vários,several
715,deve,shall
385,forma,shape
866,share,share
803,sharp,sharp
150,ela,she
856,folha,sheet
899,casca,shell
984,brilho,shine
334,navio,ship
965,sapato,shoe
981,loja,shop
854,costa,shore
327,curta,short
205,deveria,should
966,ombro,shoulder
612,grito,shout
119,exposição,show
197,lado,side
284,vista,sight
582,sinal,sign
735,silenciosa,silent
910,prata,silver
923,similar,similar
477,simples,simple
346,desde,since
469,cantar,sing
692,único,single
919,irmã,sister
553,sentar-se,sit
471,seis,six
521,tamanho,size
905,habilidade,skill
696,pele,skin
568,céu,sky
875,escravo,slave
559,sono,sleep
936,deslizamento,slip
485,lento,slow
59,pequeno,small
945,cheiro,smell
697,sorriso,smile
391,neve,snow
165,assim,so
585,suave,soft
738,solo,soil
758,soldado,soldier
908,solução,solution
708,resolver,solve
23,alguns,some
658,filho,son
322,canção,song
315,em breve,soon
183,som,sound
340,sul,south
450,espaço,space
524,falar,speak
443,especial,special
888,discurso,speech
671,velocidade,speed
67,soletrar,spell
861,passar,spend
785,falou,spoke
844,local,spot
967,propagação,spread
663,primavera,spring
514,quadrado,square
202,ficar,stand
416,estrela,star
232,começo,start
220,estado,state
867,estação,station
355,ficar,stay
376,lugar,stead
891,vapor,steam
920,aço,steel
460,passo,step
693,vara,stick
212,ainda,still
